Strike, CALL $$$,PUTS $$$, IVCALLS,IVPUTS,DCALL,DPUTS,Timestamp
680,0,441490,290682.4,59711.68,4696,-48944,2025-10-23 16:49:07
679,996,1772394,269971.61,245658.87,4897,-220311,2025-10-23 16:49:07
678,0,549878,294916.86,79803.6,6111,-78840,2025-10-23 16:49:07
677,3590,804752,500522.56,0,12128,-174500,2025-10-23 16:49:07
676,18797,1211840,1600883.7,221729.12,46878,-229488,2025-10-23 16:49:07
675,54045.5,2304818.5,3204628.86,418948.32,119442,-640184,2025-10-23 16:49:07
674,116027.5,4107838,4606647.66,1092398.07,239058,-1236614,2025-10-23 16:49:07
673,221111,15846655.5,5173437.15,3637141.57,918090,-9221597,2025-10-23 16:49:07
672,867348,13535465,1777332,5507019.1,10663992,-19804422,2025-10-23 16:49:07
671,32474640,555690,0,4145661.65,50675000,-2251038,2025-10-23 16:49:07
670,75344904,232189,0,8051359.05,47610900,-938934,2025-10-23 16:49:07
669,44546008,213274,0,10724913.93,17230100,-431239,2025-10-23 16:49:07
668,20640913,152404.5,0,9998676.8,6871600,-309365,2025-10-23 16:49:07
667,9524466.5,96335.5,0,7829157.6,2364100,-197706,2025-10-23 16:49:07
666,3937458,67989,0,6608989.26,1378100,-141399,2025-10-23 16:49:07
665,4340316,57075.5,0,6772891.86,1533200,-125937,2025-10-23 16:49:07
664,403434,28680.5,0,3941134.08,402700,-64896,2025-10-23 16:49:07
663,0,32713.5,0,4766330.94,206600,0,2025-10-23 16:49:07
662,1201014,13322,0,2743999.92,200100,0,2025-10-23 16:49:07
661,480150,12908.5,0,2507797.56,97200,0,2025-10-23 16:49:07
660,332153.5,23008.5,0,5465757.5,111800,0,2025-10-23 16:49:07
659,0,8992.5,0,2175976.2,6700,0,2025-10-23 16:49:07
658,125764,8100.5,0,2093388.08,31800,0,2025-10-23 16:49:07
657,41104,12348,0,3046140,8200,0,2025-10-23 16:49:07
680,0,441490,291621.6,57748.6,4696,-48944,2025-10-23 16:49:30
679,996,1772394,270999.98,237209.58,4897,-222732,2025-10-23 16:49:30
678,0,549878,296200.17,76965.36,6111,-79716,2025-10-23 16:49:30
677,3590,804752,503190.72,0,12128,-174500,2025-10-23 16:49:30
676,18797,1211840,1610728.08,216019.24,46878,-232220,2025-10-23 16:49:30
675,54045.5,2304818.5,3232100.52,401082.72,119442,-647628,2025-10-23 16:49:30
674,116027.5,4107838,4661631,1069671.11,239058,-1253325,2025-10-23 16:49:30
673,221111,15846655.5,5288198.4,3451512.02,918090,-9461119,2025-10-23 16:49:30
672,867348,13535465,2014309.6,5204741.08,9479104,-20499314,2025-10-23 16:49:30
671,32474640,555690,0,4033109.75,50675000,-2251038,2025-10-23 16:49:30
670,75344904,232189,0,7938686.97,47610900,-938934,2025-10-23 16:49:30
669,44546008,213274,0,10625728.96,17230100,-431239,2025-10-23 16:49:30
668,20640913,152404.5,0,9930616.5,6871600,-309365,2025-10-23 16:49:30
667,9524466.5,96335.5,905923.12,7785662.28,2340459,-197706,2025-10-23 16:49:30
666,3937458,67989,625795.21,6579295.47,1364319,-141399,2025-10-23 16:49:30
665,4340316,57075.5,0,6746445.09,1533200,-125937,2025-10-23 16:49:30
664,403434,28680.5,0,3928154.88,402700,-64896,2025-10-23 16:49:30
663,0,32713.5,0,4752233.54,206600,0,2025-10-23 16:49:30
662,1201014,13322,0,2736629.52,200100,0,2025-10-23 16:49:30
661,480150,12908.5,0,2501623.76,97200,0,2025-10-23 16:49:30
660,332153.5,23008.5,0,5453332.5,111800,0,2025-10-23 16:49:30
659,0,8992.5,0,2171380.2,6700,0,2025-10-23 16:49:30
658,125764,8100.5,0,2089257.48,31800,0,2025-10-23 16:49:30
657,41104,12348,0,3040499,8200,0,2025-10-23 16:49:30
680,0,441490,291621.6,57748.6,4696,-48944,2025-10-23 16:49:35
679,996,1772394,270999.98,237209.58,4897,-222732,2025-10-23 16:49:35
678,0,549878,296200.17,76965.36,6111,-79716,2025-10-23 16:49:35
677,3590,804752,503190.72,0,12128,-174500,2025-10-23 16:49:35
676,18797,1211840,1610728.08,216019.24,46878,-232220,2025-10-23 16:49:35
675,54045.5,2304818.5,3232100.52,401082.72,119442,-647628,2025-10-23 16:49:35
674,116027.5,4107838,4661631,1069671.11,239058,-1253325,2025-10-23 16:49:35
673,221111,15846655.5,5288198.4,3451512.02,918090,-9461119,2025-10-23 16:49:35
672,867348,13535465,2014309.6,5204741.08,9479104,-20499314,2025-10-23 16:49:35
671,32474640,555690,0,4033109.75,50675000,-2251038,2025-10-23 16:49:35
670,75344904,232189,0,7938686.97,47610900,-938934,2025-10-23 16:49:35
669,44546008,213274,0,10625728.96,17230100,-431239,2025-10-23 16:49:35
668,20640913,152404.5,0,9930616.5,6871600,-309365,2025-10-23 16:49:35
667,9524466.5,96335.5,905923.12,7785662.28,2340459,-197706,2025-10-23 16:49:35
666,3937458,67989,625795.21,6579295.47,1364319,-141399,2025-10-23 16:49:35
665,4340316,57075.5,0,6746445.09,1533200,-125937,2025-10-23 16:49:35
664,403434,28680.5,0,3928154.88,402700,-64896,2025-10-23 16:49:35
663,0,32713.5,0,4752233.54,206600,0,2025-10-23 16:49:35
662,1201014,13322,0,2736629.52,200100,0,2025-10-23 16:49:35
661,480150,12908.5,0,2501623.76,97200,0,2025-10-23 16:49:35
660,332153.5,23008.5,0,5453332.5,111800,0,2025-10-23 16:49:35
659,0,8992.5,0,2171380.2,6700,0,2025-10-23 16:49:35
658,125764,8100.5,0,2089257.48,31800,0,2025-10-23 16:49:35
657,41104,12348,0,3040499,8200,0,2025-10-23 16:49:35
680,0,441490,291621.6,57748.6,4696,-48944,2025-10-23 16:49:40
679,996,1772394,270999.98,237209.58,4897,-222732,2025-10-23 16:49:40
678,0,549878,296200.17,76965.36,6111,-79716,2025-10-23 16:49:40
677,3590,804752,503190.72,0,12128,-174500,2025-10-23 16:49:40
676,18797,1211840,1610728.08,216019.24,46878,-232220,2025-10-23 16:49:40
675,54045.5,2304818.5,3232100.52,401082.72,119442,-647628,2025-10-23 16:49:40
674,116027.5,4107838,4661631,1069671.11,239058,-1253325,2025-10-23 16:49:40
673,221111,15846655.5,5288198.4,3451512.02,918090,-9461119,2025-10-23 16:49:40
672,867348,13535465,2014309.6,5204741.08,9479104,-20499314,2025-10-23 16:49:40
671,32474640,555690,0,4033109.75,50675000,-2251038,2025-10-23 16:49:40
670,75344904,232189,0,7938686.97,47610900,-938934,2025-10-23 16:49:40
669,44546008,213274,0,10625728.96,17230100,-431239,2025-10-23 16:49:40
